Nawisko aktualne,Liczba
RADZIKOWSKA,3155
KŁOSIŃSKA,3154
FURTAK,3152
KOŁACZ,3152
ZIOMEK,3147
DĘBICKA,3144
MARCINKIEWICZ,3144
MIREK,3141
WALAS,3140
KALITA,3139
BOJANOWSKA,3137
KLUSKA,3137
PILARCZYK,3131
BUDA,3127
DUDKIEWICZ,3126
RYBACKA,3124
GROBELNA,3122
BACZYŃSKA,3118
MISZCZAK,3110
CHOJECKA,3109
CZUBAK,3108
WACHOWSKA,3107
ŚLIWKA,3105
STOPA,3102
SOBOŃ,3101
CIEŚLIŃSKA,3096
ZATORSKA,3096
CZERWONKA,3090
NAPIÓRKOWSKA,3090
GIZA,3089
GUZ,3086
SZOSTEK,3084
BRYŁA,3083
JOŃCZYK,3081
WĘGLARZ,3080
ŚWIERCZ,3077
KOBYLIŃSKA,3069
DREWNIAK,3066
TOPOLSKA,3065
KLEIN,3057
PIWOWAR,3057
IWANIUK,3056
KREFT,3055
WNĘK,3054
DWORAK,3052
KRASUSKA,3050
BOROWIAK,3048
BONDAR,3046
MACHOWSKA,3046
KĄKOL,3042
WILIŃSKA,3042
OSIECKA,3038
PATER,3038
RĄCZKA,3037
CZAPIEWSKA,3030
CZAPSKA,3030
ŁUCZYŃSKA,3028
KALBARCZYK,3024
MARKOWICZ,3023
GWIAZDA,3022
MIZERA,3022
OSTASZEWSKA,3020
MASTALERZ,3018
PISARSKA,3015
CHYLIŃSKA,3011
KONIECZNY,3008
MOTYL,3006
CYRAN,2998
FRYDRYCH,2998
SZMIDT,2998
KULAS,2997
KLONOWSKA,2995
KOZIŃSKA,2993
DAWID,2992
KARASIŃSKA,2986
WASZAK,2985
RYDZEWSKA,2980
ZIEMBA,2977
MILER,2975
WIERZCHOWSKA,2972
SZEWCZUK,2969
TARKA,2968
GĄSKA,2967
GREGORCZYK,2965
SITARZ,2964
OLENDER,2963
SAKOWSKA,2962
PLUCIŃSKA,2961
MIKOŁAJEWSKA,2957
SZAFRANIEC,2955
TARASIUK,2954
WOLNY,2954
BADURA,2951
KONDRACKA,2948
DUL,2945
KIELAR,2945
MALCZEWSKA,2945
PIEKARZ,2941
TRZASKA,2938
IWAN,2936
MATUSZCZAK,2936
