Nawisko aktualne,Liczba
ŚWIERCZYŃSKI,5556
PŁONKA,5554
PARTYKA,5545
ADAMUS,5544
SOCHACKI,5539
SZYSZKA,5530
BIEŃKOWSKI,5522
JACKOWSKI,5517
SŁAWIŃSKI,5516
DEC,5510
DOBRZYŃSKI,5502
JANUSZ,5493
PAWLIKOWSKI,5486
DUDZIK,5482
CZECHOWSKI,5471
KNAPIK,5460
BRODA,5457
JURKOWSKI,5442
STACHURA,5440
KOLASA,5428
MAŃKOWSKI,5421
LIPKA,5415
ROSA,5409
FILIPOWICZ,5395
KWIECIŃSKI,5394
ROMANIUK,5381
WOŚ,5371
MROCZKOWSKI,5360
SZCZERBA,5360
MAJKA,5331
STANISŁAWSKI,5331
ADAMCZAK,5326
PASZKOWSKI,5310
SZATKOWSKI,5305
MAŚLANKA,5302
TRZECIAK,5301
SKALSKI,5296
KOWALCZUK,5288
WŁODARSKI,5288
KITA,5278
MOLENDA,5274
ADAMEK,5273
SKOWRONEK,5273
CHOJNOWSKI,5262
PUCHALSKI,5245
MICHALCZYK,5243
KRUSZEWSKI,5232
SALAMON,5231
CHMURA,5227
ZDUNEK,5215
KOBUS,5206
KOTOWSKI,5194
ŻUK,5185
KIEŁBASA,5181
KOGUT,5180
WYSZYŃSKI,5179
BUCZYŃSKI,5176
AUGUSTYN,5171
MROZEK,5147
JANUSZEWSKI,5145
WARCHOŁ,5123
LENART,5122
PIECHOTA,5096
ADAMIAK,5095
NIEMCZYK,5080
ROBAK,5079
DRABIK,5069
KOS,5067
MARCHEWKA,5067
KOŁAKOWSKI,5062
CHUDY,5051
BANASIK,5047
KAWA,5045
NIEDZIELSKI,5045
GRZESIK,5044
TOMALA,5043
GŁOGOWSKI,5041
DRÓŻDŻ,5033
PILCH,5017
STOLARSKI,5013
BUDZYŃSKI,5012
MACIĄG,5009
TOKARZ,5008
KŁOSOWSKI,4999
JARZĄBEK,4996
DĄBKOWSKI,4993
KOPER,4990
WYPYCH,4985
PIŁAT,4971
SOŁTYSIAK,4968
ADAMOWICZ,4965
NIEDŹWIECKI,4964
CHUDZIK,4963
PRZYBYŁ,4952
BĄKOWSKI,4949
SURMA,4949
JAGIELSKI,4939
WIĄCEK,4926
MALIK,4925
PORĘBSKI,4920
PRUS,4920
STAŃCZAK,4919
KASPEREK,4915
MIŚKIEWICZ,4911
FURMAN,4909
ŻYŁA,4909
KALISZ,4908
RUDZIŃSKI,4901
CZEKAJ,4899
GŁĄB,4897
KANIEWSKI,4891
FRĄTCZAK,4890
JURCZAK,4887
JAROS,4882
GORCZYCA,4867
ZIĘTEK,4867
RYŚ,4853
TRACZ,4849
BUCZKOWSKI,4847
GADOMSKI,4841
BARTNIK,4838
KUŹMA,4824
MOSKAL,4812
BALCERZAK,4809
STACHURSKI,4802
KUCIŃSKI,4795
URBANEK,4793
SOJKA,4787
SZELĄG,4773
GOLEC,4759
KOPACZ,4755
KORZENIOWSKI,4755
PIETRUSZKA,4752
BIAŁKOWSKI,4745
RUDNIK,4742
WOLIŃSKI,4739
BŁASZCZAK,4736
PIOTROWICZ,4731
CZERNIAK,4719
ZABŁOCKI,4705
ROMAN,4699
STACHOWICZ,4693
RUDZKI,4682
SZUBA,4675
RYBARCZYK,4671
ŚLĘZAK,4670
LESIAK,4667
SĘK,4662
RADECKI,4655
OLCZYK,4654
TRELA,4653
KULIŃSKI,4652
SZYMKOWIAK,4652
WARZECHA,4652
GRUDZIEŃ,4651
